Tournament,Country,No.,Pos.,Player,Date of Birth,Caps,Goals,Club
Russia 2018,Tunisia,1,GK,Farouk Ben Mustapha,1989-07-01,15,0,Al Shabab
Russia 2018,Tunisia,2,DF,Syam Ben Youssef,1989-03-31,42,1,Kasımpaşa
Russia 2018,Tunisia,3,DF,Yohan Benalouane,1987-03-28,4,0,Leicester City
Russia 2018,Tunisia,4,DF,Yassine Meriah,1993-07-02,16,1,CS Sfaxien
Russia 2018,Tunisia,5,DF,Oussama Haddadi,1992-01-28,9,0,Dijon
Russia 2018,Tunisia,6,DF,Rami Bedoui,1990-01-19,8,0,Étoile du Sahel
Russia 2018,Tunisia,7,FW,Saîf-Eddine Khaoui,1995-04-27,5,0,Troyes
Russia 2018,Tunisia,8,FW,Fakhreddine Ben Youssef,1991-06-23,39,5,Al-Ettifaq
Russia 2018,Tunisia,9,MF,Anice Badri,1990-09-18,7,2,Espérance de Tunis
Russia 2018,Tunisia,10,FW,Wahbi Khazri,1991-02-08,35,12,Rennes
Russia 2018,Tunisia,11,DF,Dylan Bronn,1995-06-19,5,0,Gent
Russia 2018,Tunisia,12,DF,Ali Maâloul,1990-01-01,46,0,Al Ahly
Russia 2018,Tunisia,13,MF,Ferjani Sassi,1992-03-18,39,3,Al Nassr
Russia 2018,Tunisia,14,MF,Mohamed Amine Ben Amor,1992-05-03,26,1,Al Ahli
Russia 2018,Tunisia,15,FW,Ahmed Khalil,1994-12-21,3,0,Club Africain
Russia 2018,Tunisia,16,GK,Aymen Mathlouthi (captain),1984-09-14,70,0,Al Batin
Russia 2018,Tunisia,17,MF,Ellyes Skhiri,1995-05-10,5,0,Montpellier
Russia 2018,Tunisia,18,FW,Bassem Srarfi,1997-06-25,5,0,Nice
Russia 2018,Tunisia,19,FW,Saber Khalifa,1986-10-14,44,7,Club Africain
Russia 2018,Tunisia,20,FW,Ghailene Chaalali,1994-02-28,6,1,Espérance de Tunis
Russia 2018,Tunisia,21,DF,Hamdi Nagguez,1992-10-28,15,0,Zamalek
Russia 2018,Tunisia,22,GK,Mouez Hassen,1995-03-05,3,0,Châteauroux
Russia 2018,Tunisia,23,FW,Naïm Sliti,1992-07-27,17,3,Dijon
Russia 2018,Colombia,1,GK,David Ospina,1988-08-31,86,0,Arsenal
Russia 2018,Colombia,2,DF,Cristián Zapata,1986-09-30,55,2,Milan
Russia 2018,Colombia,3,DF,Óscar Murillo,1988-04-18,13,0,Pachuca
Russia 2018,Colombia,4,DF,Santiago Arias,1992-01-13,41,0,PSV Eindhoven
Russia 2018,Colombia,5,MF,Wilmar Barrios,1993-10-16,10,0,Boca Juniors
Russia 2018,Colombia,6,MF,Carlos Sánchez,1986-02-06,85,0,Espanyol
Russia 2018,Colombia,7,FW,Carlos Bacca,1986-09-08,45,14,Villarreal
Russia 2018,Colombia,8,MF,Abel Aguilar,1985-01-06,70,7,Deportivo Cali
Russia 2018,Colombia,9,FW,Radamel Falcao (captain),1986-02-10,73,29,Monaco
Russia 2018,Colombia,10,MF,James Rodríguez,1991-07-12,63,21,Bayern Munich
Russia 2018,Colombia,11,MF,Juan Cuadrado,1988-05-26,70,7,Juventus
Russia 2018,Colombia,12,GK,Camilo Vargas,1989-03-09,5,0,Deportivo Cali
Russia 2018,Colombia,13,DF,Yerry Mina,1994-09-23,12,3,Barcelona
Russia 2018,Colombia,14,FW,Luis Muriel,1991-04-16,18,2,Sevilla
Russia 2018,Colombia,15,MF,Mateus Uribe,1991-03-21,8,0,América
Russia 2018,Colombia,16,MF,Jefferson Lerma,1994-10-25,5,0,Levante
Russia 2018,Colombia,17,DF,Johan Mojica,1992-08-21,4,1,Girona
Russia 2018,Colombia,18,DF,Farid Díaz,1983-07-20,13,0,Olimpia
Russia 2018,Colombia,19,FW,Miguel Borja,1993-01-26,7,2,Palmeiras
Russia 2018,Colombia,20,MF,Juan Fernando Quintero,1993-01-18,15,2,River Plate
Russia 2018,Colombia,21,FW,José Izquierdo,1992-07-07,5,1,Brighton & Hove Albion
Russia 2018,Colombia,22,GK,José Fernando Cuadrado,1985-06-01,1,0,Once Caldas
Russia 2018,Colombia,23,DF,Davinson Sánchez,1996-06-12,9,0,Tottenham Hotspur
Russia 2018,Japan,1,GK,Eiji Kawashima,1983-03-20,84,0,Metz
Russia 2018,Japan,2,DF,Naomichi Ueda,1994-10-24,4,0,Kashima Antlers
Russia 2018,Japan,3,DF,Gen Shoji,1992-12-11,11,1,Kashima Antlers
Russia 2018,Japan,4,MF,Keisuke Honda,1986-06-13,95,36,Pachuca
Russia 2018,Japan,5,DF,Yuto Nagatomo,1986-09-12,105,3,Galatasaray
Russia 2018,Japan,6,DF,Wataru Endo,1993-02-09,12,0,Urawa Red Diamonds
Russia 2018,Japan,7,MF,Gaku Shibasaki,1992-05-28,18,3,Getafe
Russia 2018,Japan,8,MF,Genki Haraguchi,1991-05-09,33,6,Fortuna Düsseldorf
Russia 2018,Japan,9,FW,Shinji Okazaki,1986-04-16,113,50,Leicester City
Russia 2018,Japan,10,MF,Shinji Kagawa,1989-03-17,92,30,Borussia Dortmund
Russia 2018,Japan,11,MF,Takashi Usami,1992-05-06,24,3,Fortuna Düsseldorf
Russia 2018,Japan,12,GK,Masaaki Higashiguchi,1986-05-12,5,0,Gamba Osaka
Russia 2018,Japan,13,FW,Yoshinori Muto,1992-07-15,24,2,Mainz 05
Russia 2018,Japan,14,MF,Takashi Inui,1988-06-02,27,4,Eibar
Russia 2018,Japan,15,FW,Yuya Osako,1990-05-18,29,7,1. FC Köln
Russia 2018,Japan,16,MF,Hotaru Yamaguchi,1990-10-06,42,2,Cerezo Osaka
Russia 2018,Japan,17,MF,Makoto Hasebe (captain),1984-01-18,110,2,Eintracht Frankfurt
Russia 2018,Japan,18,MF,Ryota Oshima,1993-01-23,5,0,Kawasaki Frontale
Russia 2018,Japan,19,DF,Hiroki Sakai,1990-04-12,43,0,Marseille
Russia 2018,Japan,20,DF,Tomoaki Makino,1987-05-11,32,4,Urawa Red Diamonds
Russia 2018,Japan,21,DF,Gōtoku Sakai,1991-03-14,41,0,Hamburger SV
Russia 2018,Japan,22,DF,Maya Yoshida,1988-08-24,82,10,Southampton
Russia 2018,Japan,23,GK,Kosuke Nakamura,1995-02-27,4,0,Kashiwa Reysol
Russia 2018,Poland,1,GK,Wojciech Szczęsny,1990-04-18,35,0,Juventus
Russia 2018,Poland,2,DF,Michał Pazdan,1987-09-21,33,0,Legia Warsaw
Russia 2018,Poland,3,DF,Artur Jędrzejczyk,1987-11-04,36,3,Legia Warsaw
Russia 2018,Poland,4,DF,Thiago Cionek,1986-04-21,19,0,SPAL
Russia 2018,Poland,5,DF,Jan Bednarek,1996-04-12,3,0,Southampton
Russia 2018,Poland,6,MF,Jacek Góralski,1992-09-21,5,0,Ludogorets Razgrad
Russia 2018,Poland,7,FW,Arkadiusz Milik,1994-02-28,40,12,Napoli
Russia 2018,Poland,8,MF,Karol Linetty,1995-02-02,20,1,Sampdoria
Russia 2018,Poland,9,FW,Robert Lewandowski (captain),1988-08-21,95,55,Bayern Munich
Russia 2018,Poland,10,MF,Grzegorz Krychowiak,1990-01-29,51,2,West Bromwich Albion
Russia 2018,Poland,11,MF,Kamil Grosicki,1988-06-08,57,12,Hull City
Russia 2018,Poland,12,GK,Bartosz Białkowski,1987-07-06,1,0,Ipswich Town
Russia 2018,Poland,13,MF,Maciej Rybus,1989-08-19,51,2,Lokomotiv Moscow
Russia 2018,Poland,14,FW,Łukasz Teodorczyk,1991-06-03,17,4,Anderlecht
Russia 2018,Poland,15,DF,Kamil Glik,1988-02-03,57,4,Monaco
Russia 2018,Poland,16,MF,Jakub Błaszczykowski,1985-12-14,99,20,VfL Wolfsburg
Russia 2018,Poland,17,MF,Sławomir Peszko,1985-02-19,43,2,Lechia Gdańsk
Russia 2018,Poland,18,DF,Bartosz Bereszyński,1992-07-12,8,0,Sampdoria
Russia 2018,Poland,19,MF,Piotr Zieliński,1994-05-20,33,5,Napoli
Russia 2018,Poland,20,DF,Łukasz Piszczek,1985-06-03,63,3,Borussia Dortmund
Russia 2018,Poland,21,MF,Rafał Kurzawa,1993-01-29,3,0,Górnik Zabrze
Russia 2018,Poland,22,GK,Łukasz Fabiański,1985-04-18,45,0,Swansea City
Russia 2018,Poland,23,FW,Dawid Kownacki,1997-03-14,2,1,Sampdoria
Russia 2018,Senegal,1,GK,Abdoulaye Diallo,1992-03-30,17,0,Rennes
Russia 2018,Senegal,2,DF,Adama Mbengue,1993-12-01,6,0,Caen
Russia 2018,Senegal,3,DF,Kalidou Koulibaly,1991-06-20,26,0,Napoli
Russia 2018,Senegal,4,DF,Kara Mbodji,1989-11-22,52,5,Anderlecht
Russia 2018,Senegal,5,MF,Idrissa Gueye,1989-09-26,61,1,Everton
Russia 2018,Senegal,6,MF,Salif Sané,1990-08-25,22,0,Hannover 96
Russia 2018,Senegal,7,FW,Moussa Sow,1986-01-19,51,18,Bursaspor
Russia 2018,Senegal,8,MF,Cheikhou Kouyaté (captain),1989-12-21,48,2,West Ham United
Russia 2018,Senegal,9,FW,Mame Biram Diouf,1987-12-16,49,10,Stoke City
Russia 2018,Senegal,10,FW,Sadio Mané,1992-04-10,53,14,Liverpool
Russia 2018,Senegal,11,MF,Cheikh N'Doye,1986-03-29,26,3,Birmingham City
Russia 2018,Senegal,12,DF,Youssouf Sabaly,1993-03-05,5,0,Bordeaux
Russia 2018,Senegal,13,MF,Alfred N'Diaye,1990-03-06,21,0,Wolverhampton Wanderers
Russia 2018,Senegal,14,FW,Moussa Konaté,1993-04-03,28,10,Amiens
Russia 2018,Senegal,15,FW,Diafra Sakho,1989-12-24,12,3,Rennes
Russia 2018,Senegal,16,GK,Khadim N'Diaye,1985-04-05,26,0,Horoya
Russia 2018,Senegal,17,MF,Badou Ndiaye,1990-10-27,20,1,Stoke City
Russia 2018,Senegal,18,FW,Ismaïla Sarr,1998-02-25,16,3,Rennes
Russia 2018,Senegal,19,FW,M'Baye Niang,1994-12-19,7,0,Torino
Russia 2018,Senegal,20,FW,Keita Baldé,1995-03-08,19,3,Monaco
Russia 2018,Senegal,21,DF,Lamine Gassama,1989-10-20,36,0,Alanyaspor
Russia 2018,Senegal,22,DF,Moussa Wagué,1998-10-04,10,0,Eupen
Russia 2018,Senegal,23,GK,Alfred Gomis,1993-09-05,1,0,SPAL
